serial_scrambled	BSA21_final_wt	DVSex21	Ragecat	HHincomex	RClassGP	hedqual2x	MarStat6x	HhlChlGpdx	PMSx	HomoSexx	Partyfwx	Politicsx	Votedx	Spend1x	dolex	TAXSPENDx	EQOPPGAYx	EQOPPTx	CHOPWOMMx	EQOPPBLKx	TBirCertx	EqOpDisx	EqOpMhx	welfare2	leftrigh	libauth	NHSSatx	GPSatx	NHSFProbx	NHSAccx
1046192	1.03370437553028	1	5	4	1	1	1	2	1	1	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	4.25	4.6	3.16666666666667	-1	-1	-1	-1
1011621	4.0556155510301	2	1	3	6	2	4	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2.5	3.4	1.83333333333333	-1	-1	-1	-1
1016242	.979002131750511	2	7	3	1	4	1	2	5	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.875	4	4.83333333333333	-1	-1	-1	-1
1002431	.795259252971657	2	4	9	1	2	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	3	1.6	4.33333333333333	-1	-1	-1	-1
1002432	.621020753137886	1	3	9	1	1	1	1	1	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	9	3	3	3	-1	-1	-1	-1
1035881	1.86251641685518	1	2	1	5	2	2	1	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2.625	2.4	4	-1	-1	-1	-1
1005601	1.61120698940597	2	3	3	1	2	1	1	5	3	6	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	4.5	3.8	3.5	-1	-1	-1	-1
1002791	1.00990642340132	1	3	3	2	3	1	1	5	5	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	2.625	2	3.66666666666667	-1	-1	-1	-1
1004601	.649323790738925	1	7	3	2	3	3	2	5	6	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.5	1.2	3.66666666666667	-1	-1	-1	-1
1032651	.638412459125431	2	4	2	5	1	1	1	5	5	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	8	3.625	3.6	3	-1	-1	-1	-1
1033571	.387163182968276	1	1	2	1	1	4	2	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	1.625	1.2	1.83333333333333	-1	-1	-1	-1
1042181	.364628229922256	1	5	3	1	2	2	2	5	5	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	4.125	3	3.83333333333333	-1	-1	-1	-1
1042182	.633415361604876	1	2	3	1	1	4	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	4.375	3	2.83333333333333	-1	-1	-1	-1
1016911	3.55825891039778	2	1	1	5	3	4	1	2	4	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	2.25	2.6	3	-1	-1	-1	-1
1016912	.87972413052956	1	4	3	1	2	1	1	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2.875	2.4	3	-1	-1	-1	-1
1023931	.523523075851565	1	7	9	1	2	1	2	5	5	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.625	4	4.5	-1	-1	-1	-1
1034161	.79385330925437	2	7	1	2	3	4	2	1	1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	8	1.5	2	2.5	-1	-1	-1	-1
1009931	.794277543527289	1	6	1	2	3	1	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.125	2.4	4.33333333333333	-1	-1	-1	-1
1037701	.979935767641289	1	7	2	2	3	1	2	5	4	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3	3.6	3.5	-1	-1	-1	-1
1037702	.762991809001264	2	7	9	2	3	1	2	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.5	2.2	3.66666666666667	-1	-1	-1	-1
1003221	.412248883157763	1	3	4	1	1	1	1	5	5	5	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.75	3.8	3.5	-1	-1	-1	-1
1003222	.616097190349305	2	4	3	1	1	1	1	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.125	1.4	2.83333333333333	-1	-1	-1	-1
1025491	.982905763652116	2	5	9	1	1	1	2	5	5	4	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	3.625	1.4	3.83333333333333	-1	-1	-1	-1
1031871	.632085801422738	1	7	2	3	2	3	2	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	4	3.875	2.8	3.66666666666667	-1	-1	-1	-1
1045281	3.10193666810888	2	4	9	6	3	1	2	3	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	1.875	1.8	4.5	-1	-1	-1	-1
1015221	1.12199436485225	1	3	9	2	3	2	1	5	5	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	3.125	2.6	3.66666666666667	-1	-1	-1	-1
1025301	.90314206418489	2	7	2	3	3	1	2	5	4	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	2	3	2.6	4.33333333333333	-1	-1	-1	-1
1037331	2.35225701959746	1	2	9	2	2	1	1	5	5	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	2.2	3.16666666666667	-1	-1	-1	-1
1006091	.846843541025658	1	2	4	8	1	1	2	5	5	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	3.75	3	4.16666666666667	-1	-1	-1	-1
1026921	.785437529222812	1	7	1	2	 	1	2	3	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	4	2.5	2.4	3	-1	-1	-1	-1
1047731	.826699178969568	1	3	4	1	1	1	2	5	5	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	4.5	2.2	3.16666666666667	-1	-1	-1	-1
1047732	1.99257092903449	2	3	4	1	2	4	2	5	5	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	4.625	2.2	3.33333333333333	-1	-1	-1	-1
1015711	.61954151208889	1	2	2	1	1	1	2	5	5	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	3	3.5	2.2	3.66666666666667	-1	-1	-1	-1
1015712	.836952318349338	2	3	4	1	1	1	2	5	5	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	2.25	2.2	2.16666666666667	-1	-1	-1	-1
1025901	2.22370881209731	1	4	9	2	3	1	1	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	4.5	3.8	2.66666666666667	-1	-1	-1	-1
1025902	2.73631295952691	2	4	9	1	2	1	1	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	4	3.25	3.6	3.5	-1	-1	-1	-1
1024491	.260501862446549	2	7	2	4	2	1	2	4	3	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3.25	4	3	-1	-1	-1	-1
1013651	.617908851118868	1	3	4	1	1	1	1	5	5	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	2.75	2.4	4	-1	-1	-1	-1
1016711	.367609710170885	1	6	2	1	1	1	2	5	5	6	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	3	3.2	3.16666666666667	-1	-1	-1	-1
